source,start,end,rows,fetched_at
VIIRS_SNPP_SP,2012-04-19,2012-04-23,95,2026-08-24T13:30:00+00:00
VIIRS_SNPP_SP,2012-04-24,2012-04-28,64,2026-08-24T13:30:01+00:00
VIIRS_SNPP_SP,2012-04-29,2012-05-03,82,2026-08-24T13:30:02+00:00
VIIRS_SNPP_SP,2012-05-04,2012-05-08,93,2026-08-24T13:30:02+00:00
VIIRS_SNPP_SP,2012-05-09,2012-05-13,115,2026-08-24T13:30:03+00:00
VIIRS_SNPP_SP,2012-05-14,2012-05-18,133,2026-08-24T13:30:04+00:00
VIIRS_SNPP_SP,2012-05-19,2012-05-23,174,2026-08-24T13:30:05+00:00
VIIRS_SNPP_SP,2012-05-24,2012-05-28,461,2026-08-24T13:30:06+00:00
VIIRS_SNPP_SP,2012-05-29,2012-06-02,154,2026-08-24T13:30:08+00:00
VIIRS_SNPP_SP,2012-06-03,2012-06-07,96,2026-08-24T13:30:09+00:00
VIIRS_SNPP_SP,2012-06-08,2012-06-12,47,2026-08-24T13:30:09+00:00
VIIRS_SNPP_SP,2012-06-13,2012-06-17,49,2026-08-24T13:30:10+00:00
VIIRS_SNPP_SP,2012-06-18,2012-06-22,116,2026-08-24T13:30:12+00:00
VIIRS_SNPP_SP,2012-06-23,2012-06-27,83,2026-08-24T13:30:14+00:00
VIIRS_SNPP_SP,2012-06-28,2012-07-02,100,2026-08-24T13:30:15+00:00
VIIRS_SNPP_SP,2012-07-03,2012-07-07,80,2026-08-24T13:30:15+00:00
VIIRS_SNPP_SP,2012-07-08,2012-07-12,221,2026-08-24T13:30:17+00:00
VIIRS_SNPP_SP,2012-07-13,2012-07-17,53,2026-08-24T13:30:17+00:00
VIIRS_SNPP_SP,2012-07-18,2012-07-22,78,2026-08-24T13:30:18+00:00
VIIRS_SNPP_SP,2012-07-23,2012-07-27,189,2026-08-24T13:30:20+00:00
VIIRS_SNPP_SP,2012-07-28,2012-08-01,232,2026-08-24T13:30:21+00:00
VIIRS_SNPP_SP,2012-08-02,2012-08-06,104,2026-08-24T13:30:23+00:00
VIIRS_SNPP_SP,2012-08-07,2012-08-11,214,2026-08-24T13:30:25+00:00
VIIRS_SNPP_SP,2012-08-12,2012-08-16,119,2026-08-24T13:30:27+00:00
VIIRS_SNPP_SP,2012-08-17,2012-08-21,103,2026-08-24T13:30:31+00:00
VIIRS_SNPP_SP,2012-08-22,2012-08-26,130,2026-08-24T13:30:34+00:00
VIIRS_SNPP_SP,2012-08-27,2012-08-31,198,2026-08-24T13:30:34+00:00
VIIRS_SNPP_SP,2012-09-01,2012-09-05,163,2026-08-24T13:30:35+00:00
VIIRS_SNPP_SP,2012-09-06,2012-09-10,262,2026-08-24T13:30:36+00:00
VIIRS_SNPP_SP,2012-09-11,2012-09-15,165,2026-08-24T13:30:37+00:00
VIIRS_SNPP_SP,2012-09-16,2012-09-20,245,2026-08-24T13:30:38+00:00
VIIRS_SNPP_SP,2012-09-21,2012-09-25,127,2026-08-24T13:30:39+00:00
VIIRS_SNPP_SP,2012-09-26,2012-09-30,135,2026-08-24T13:30:39+00:00
VIIRS_SNPP_SP,2012-10-01,2012-10-05,191,2026-08-24T13:30:40+00:00
VIIRS_SNPP_SP,2012-10-06,2012-10-10,256,2026-08-24T13:30:41+00:00
VIIRS_SNPP_SP,2012-10-11,2012-10-15,108,2026-08-24T13:30:42+00:00
VIIRS_SNPP_SP,2012-10-16,2012-10-20,78,2026-08-24T13:30:43+00:00
VIIRS_SNPP_SP,2012-10-21,2012-10-25,73,2026-08-24T13:30:44+00:00
VIIRS_SNPP_SP,2012-10-26,2012-10-30,86,2026-08-24T13:30:44+00:00
VIIRS_SNPP_SP,2012-10-31,2012-11-04,174,2026-08-24T13:30:45+00:00
VIIRS_SNPP_SP,2012-11-05,2012-11-09,186,2026-08-24T13:30:46+00:00
VIIRS_SNPP_SP,2012-11-10,2012-11-14,131,2026-08-24T13:30:47+00:00
VIIRS_SNPP_SP,2012-11-15,2012-11-19,96,2026-08-24T13:30:47+00:00
VIIRS_SNPP_SP,2012-11-20,2012-11-24,129,2026-08-24T13:30:48+00:00
VIIRS_SNPP_SP,2012-11-25,2012-11-29,81,2026-08-24T13:30:49+00:00
VIIRS_SNPP_SP,2012-11-30,2012-12-04,147,2026-08-24T13:30:50+00:00
VIIRS_SNPP_SP,2012-12-05,2012-12-09,114,2026-08-24T13:30:51+00:00
VIIRS_SNPP_SP,2012-12-10,2012-12-14,144,2026-08-24T13:30:52+00:00
VIIRS_SNPP_SP,2012-12-15,2012-12-19,65,2026-08-24T13:30:53+00:00
VIIRS_SNPP_SP,2012-12-20,2012-12-24,6,2026-08-24T13:30:53+00:00
VIIRS_SNPP_SP,2012-12-25,2012-12-29,51,2026-08-24T13:30:55+00:00
VIIRS_SNPP_SP,2012-12-30,2013-01-03,92,2026-08-24T13:30:57+00:00
VIIRS_SNPP_SP,2013-01-04,2013-01-08,28,2026-08-24T13:30:59+00:00
VIIRS_SNPP_SP,2013-01-09,2013-01-13,78,2026-08-24T13:31:01+00:00
VIIRS_SNPP_SP,2013-01-14,2013-01-18,89,2026-08-24T13:31:03+00:00
VIIRS_SNPP_SP,2013-01-19,2013-01-23,9,2026-08-24T13:31:05+00:00
VIIRS_SNPP_SP,2013-01-24,2013-01-28,41,2026-08-24T13:31:06+00:00
VIIRS_SNPP_SP,2013-01-29,2013-02-02,60,2026-08-24T13:31:07+00:00
VIIRS_SNPP_SP,2013-02-03,2013-02-07,36,2026-08-24T13:31:08+00:00
VIIRS_SNPP_SP,2013-02-08,2013-02-12,60,2026-08-24T13:31:09+00:00
VIIRS_SNPP_SP,2013-02-13,2013-02-17,74,2026-08-24T13:31:10+00:00
VIIRS_SNPP_SP,2013-02-18,2013-02-22,175,2026-08-24T13:31:12+00:00
VIIRS_SNPP_SP,2013-02-23,2013-02-27,189,2026-08-24T13:31:13+00:00
VIIRS_SNPP_SP,2013-02-28,2013-03-04,182,2026-08-24T13:31:14+00:00
VIIRS_SNPP_SP,2013-03-05,2013-03-09,102,2026-08-24T13:31:16+00:00
VIIRS_SNPP_SP,2013-03-10,2013-03-14,228,2026-08-24T13:31:17+00:00
VIIRS_SNPP_SP,2013-03-15,2013-03-19,43,2026-08-24T13:31:17+00:00
VIIRS_SNPP_SP,2013-03-20,2013-03-24,69,2026-08-24T13:31:18+00:00
VIIRS_SNPP_SP,2013-03-25,2013-03-29,293,2026-08-24T13:31:19+00:00
VIIRS_SNPP_SP,2013-03-30,2013-04-03,569,2026-08-24T13:31:20+00:00
VIIRS_SNPP_SP,2013-04-04,2013-04-08,333,2026-08-24T13:31:21+00:00
VIIRS_SNPP_SP,2013-04-09,2013-04-13,114,2026-08-24T13:31:23+00:00
VIIRS_SNPP_SP,2013-04-14,2013-04-18,101,2026-08-24T13:31:23+00:00
VIIRS_SNPP_SP,2013-04-19,2013-04-23,174,2026-08-24T13:31:24+00:00
VIIRS_SNPP_SP,2013-04-24,2013-04-28,124,2026-08-24T13:31:25+00:00
VIIRS_SNPP_SP,2013-04-29,2013-05-03,308,2026-08-24T13:31:27+00:00
VIIRS_SNPP_SP,2013-05-04,2013-05-08,230,2026-08-24T13:31:27+00:00
VIIRS_SNPP_SP,2013-05-09,2013-05-13,94,2026-08-24T13:31:28+00:00
VIIRS_SNPP_SP,2013-05-14,2013-05-18,129,2026-08-24T13:31:29+00:00
VIIRS_SNPP_SP,2013-05-19,2013-05-23,103,2026-08-24T13:31:30+00:00
VIIRS_SNPP_SP,2013-05-24,2013-05-28,212,2026-08-24T13:31:30+00:00
VIIRS_SNPP_SP,2013-05-29,2013-06-02,176,2026-08-24T13:31:31+00:00
VIIRS_SNPP_SP,2013-06-03,2013-06-07,341,2026-08-24T13:31:33+00:00
VIIRS_SNPP_SP,2013-06-08,2013-06-12,161,2026-08-24T13:31:34+00:00
VIIRS_SNPP_SP,2013-06-13,2013-06-17,72,2026-08-24T13:31:35+00:00
VIIRS_SNPP_SP,2013-06-18,2013-06-22,50,2026-08-24T13:31:35+00:00
VIIRS_SNPP_SP,2013-06-23,2013-06-27,143,2026-08-24T13:31:36+00:00
VIIRS_SNPP_SP,2013-06-28,2013-07-02,105,2026-08-24T13:31:36+00:00
VIIRS_SNPP_SP,2013-07-03,2013-07-07,246,2026-08-24T13:31:37+00:00
VIIRS_SNPP_SP,2013-07-08,2013-07-12,584,2026-08-24T13:31:38+00:00
VIIRS_SNPP_SP,2013-07-13,2013-07-17,359,2026-08-24T13:31:40+00:00
VIIRS_SNPP_SP,2013-07-18,2013-07-22,287,2026-08-24T13:31:40+00:00
VIIRS_SNPP_SP,2013-07-23,2013-07-27,188,2026-08-24T13:31:41+00:00
VIIRS_SNPP_SP,2013-07-28,2013-08-01,139,2026-08-24T13:31:42+00:00
VIIRS_SNPP_SP,2013-08-02,2013-08-06,157,2026-08-24T13:31:42+00:00
VIIRS_SNPP_SP,2013-08-07,2013-08-11,179,2026-08-24T13:31:43+00:00
VIIRS_SNPP_SP,2013-08-12,2013-08-16,148,2026-08-24T13:31:44+00:00
VIIRS_SNPP_SP,2013-08-17,2013-08-21,185,2026-08-24T13:31:46+00:00
VIIRS_SNPP_SP,2013-08-22,2013-08-26,220,2026-08-24T13:31:47+00:00
VIIRS_SNPP_SP,2013-08-27,2013-08-31,194,2026-08-24T13:31:48+00:00
VIIRS_SNPP_SP,2013-09-01,2013-09-05,301,2026-08-24T13:31:49+00:00
VIIRS_SNPP_SP,2013-09-06,2013-09-10,142,2026-08-24T13:31:51+00:00
VIIRS_SNPP_SP,2013-09-11,2013-09-15,64,2026-08-24T13:31:51+00:00
VIIRS_SNPP_SP,2013-09-16,2013-09-20,146,2026-08-24T13:31:52+00:00
VIIRS_SNPP_SP,2013-09-21,2013-09-25,135,2026-08-24T13:31:54+00:00
VIIRS_SNPP_SP,2013-09-26,2013-09-30,199,2026-08-24T13:31:54+00:00
VIIRS_SNPP_SP,2013-10-01,2013-10-05,57,2026-08-24T13:31:55+00:00
VIIRS_SNPP_SP,2013-10-06,2013-10-10,158,2026-08-24T13:31:56+00:00
VIIRS_SNPP_SP,2013-10-11,2013-10-15,160,2026-08-24T13:31:56+00:00
VIIRS_SNPP_SP,2013-10-16,2013-10-20,77,2026-08-24T13:31:57+00:00
VIIRS_SNPP_SP,2013-10-21,2013-10-25,114,2026-08-24T13:31:59+00:00
VIIRS_SNPP_SP,2013-10-26,2013-10-30,187,2026-08-24T13:32:00+00:00
VIIRS_SNPP_SP,2013-10-31,2013-11-04,214,2026-08-24T13:32:01+00:00
VIIRS_SNPP_SP,2013-11-05,2013-11-09,183,2026-08-24T13:32:03+00:00
VIIRS_SNPP_SP,2013-11-10,2013-11-14,213,2026-08-24T13:32:04+00:00
VIIRS_SNPP_SP,2013-11-15,2013-11-19,104,2026-08-24T13:32:05+00:00
VIIRS_SNPP_SP,2013-11-20,2013-11-24,118,2026-08-24T13:32:06+00:00
VIIRS_SNPP_SP,2013-11-25,2013-11-29,80,2026-08-24T13:32:07+00:00
VIIRS_SNPP_SP,2013-11-30,2013-12-04,106,2026-08-24T13:32:07+00:00
VIIRS_SNPP_SP,2013-12-05,2013-12-09,82,2026-08-24T13:32:09+00:00
VIIRS_SNPP_SP,2013-12-10,2013-12-14,209,2026-08-24T13:32:10+00:00
VIIRS_SNPP_SP,2013-12-15,2013-12-19,107,2026-08-24T13:32:11+00:00
VIIRS_SNPP_SP,2013-12-20,2013-12-24,115,2026-08-24T13:32:12+00:00
VIIRS_SNPP_SP,2013-12-25,2013-12-29,169,2026-08-24T13:32:12+00:00
VIIRS_SNPP_SP,2013-12-30,2014-01-03,96,2026-08-24T13:32:13+00:00
VIIRS_SNPP_SP,2014-01-04,2014-01-08,133,2026-08-24T13:32:15+00:00
VIIRS_SNPP_SP,2014-01-09,2014-01-13,156,2026-08-24T13:32:16+00:00
VIIRS_SNPP_SP,2014-01-14,2014-01-18,77,2026-08-24T13:32:17+00:00
VIIRS_SNPP_SP,2014-01-19,2014-01-23,75,2026-08-24T13:32:18+00:00
VIIRS_SNPP_SP,2014-01-24,2014-01-28,60,2026-08-24T13:32:19+00:00
VIIRS_SNPP_SP,2014-01-29,2014-02-02,45,2026-08-24T13:32:20+00:00
VIIRS_SNPP_SP,2014-02-03,2014-02-07,56,2026-08-24T13:32:25+00:00
VIIRS_SNPP_SP,2014-02-08,2014-02-12,96,2026-08-24T13:32:27+00:00
VIIRS_SNPP_SP,2014-02-13,2014-02-17,71,2026-08-24T13:32:28+00:00
VIIRS_SNPP_SP,2014-02-18,2014-02-22,88,2026-08-24T13:32:29+00:00
VIIRS_SNPP_SP,2014-02-23,2014-02-27,91,2026-08-24T13:32:30+00:00
VIIRS_SNPP_SP,2014-02-28,2014-03-04,124,2026-08-24T13:32:31+00:00
VIIRS_SNPP_SP,2014-03-05,2014-03-09,130,2026-08-24T13:32:32+00:00
VIIRS_SNPP_SP,2014-03-10,2014-03-14,538,2026-08-24T13:32:33+00:00
VIIRS_SNPP_SP,2014-03-15,2014-03-19,116,2026-08-24T13:32:35+00:00
VIIRS_SNPP_SP,2014-03-20,2014-03-24,235,2026-08-24T13:32:36+00:00
VIIRS_SNPP_SP,2014-03-25,2014-03-29,136,2026-08-24T13:32:37+00:00
VIIRS_SNPP_SP,2014-03-30,2014-04-03,97,2026-08-24T13:32:38+00:00
VIIRS_SNPP_SP,2014-04-04,2014-04-08,63,2026-08-24T13:32:39+00:00
VIIRS_SNPP_SP,2014-04-09,2014-04-13,190,2026-08-24T13:32:41+00:00
VIIRS_SNPP_SP,2014-04-14,2014-04-18,359,2026-08-24T13:32:44+00:00
VIIRS_SNPP_SP,2014-04-19,2014-04-23,201,2026-08-24T13:32:45+00:00
VIIRS_SNPP_SP,2014-04-24,2014-04-28,85,2026-08-24T13:32:46+00:00
VIIRS_SNPP_SP,2014-04-29,2014-05-03,99,2026-08-24T13:32:47+00:00
VIIRS_SNPP_SP,2014-05-04,2014-05-08,44,2026-08-24T13:32:48+00:00
VIIRS_SNPP_SP,2014-05-09,2014-05-13,68,2026-08-24T13:32:49+00:00
VIIRS_SNPP_SP,2014-05-14,2014-05-18,281,2026-08-24T13:32:50+00:00
VIIRS_SNPP_SP,2014-05-19,2014-05-23,137,2026-08-24T13:32:51+00:00
VIIRS_SNPP_SP,2014-05-24,2014-05-28,71,2026-08-24T13:32:52+00:00
VIIRS_SNPP_SP,2014-05-29,2014-06-02,67,2026-08-24T13:32:52+00:00
VIIRS_SNPP_SP,2014-06-03,2014-06-07,116,2026-08-24T13:32:53+00:00
VIIRS_SNPP_SP,2014-06-08,2014-06-12,191,2026-08-24T13:32:54+00:00
VIIRS_SNPP_SP,2014-06-13,2014-06-17,122,2026-08-24T13:32:54+00:00
VIIRS_SNPP_SP,2014-06-18,2014-06-22,239,2026-08-24T13:32:55+00:00
VIIRS_SNPP_SP,2014-06-23,2014-06-27,117,2026-08-24T13:32:56+00:00
VIIRS_SNPP_SP,2014-06-28,2014-07-02,168,2026-08-24T13:32:56+00:00
VIIRS_SNPP_SP,2014-07-03,2014-07-07,119,2026-08-24T13:32:58+00:00
VIIRS_SNPP_SP,2014-07-08,2014-07-12,236,2026-08-24T13:32:59+00:00
VIIRS_SNPP_SP,2014-07-13,2014-07-17,173,2026-08-24T13:32:59+00:00
VIIRS_SNPP_SP,2014-07-18,2014-07-22,173,2026-08-24T13:33:00+00:00
VIIRS_SNPP_SP,2014-07-23,2014-07-27,340,2026-08-24T13:33:01+00:00
VIIRS_SNPP_SP,2014-07-28,2014-08-01,190,2026-08-24T13:33:03+00:00
VIIRS_SNPP_SP,2014-08-02,2014-08-06,185,2026-08-24T13:33:04+00:00
VIIRS_SNPP_SP,2014-08-07,2014-08-11,186,2026-08-24T13:33:05+00:00
VIIRS_SNPP_SP,2014-08-12,2014-08-16,180,2026-08-24T13:33:06+00:00
VIIRS_SNPP_SP,2014-08-17,2014-08-21,176,2026-08-24T13:33:07+00:00
VIIRS_SNPP_SP,2014-08-22,2014-08-26,222,2026-08-24T13:33:08+00:00
VIIRS_SNPP_SP,2014-08-27,2014-08-31,232,2026-08-24T13:33:09+00:00
VIIRS_SNPP_SP,2014-09-01,2014-09-05,213,2026-08-24T13:33:10+00:00
VIIRS_SNPP_SP,2014-09-06,2014-09-10,368,2026-08-24T13:33:11+00:00
VIIRS_SNPP_SP,2014-09-11,2014-09-15,282,2026-08-24T13:33:12+00:00
VIIRS_SNPP_SP,2014-09-16,2014-09-20,114,2026-08-24T13:33:13+00:00
VIIRS_SNPP_SP,2014-09-21,2014-09-25,243,2026-08-24T13:33:14+00:00
VIIRS_SNPP_SP,2014-09-26,2014-09-30,160,2026-08-24T13:33:15+00:00
VIIRS_SNPP_SP,2014-10-01,2014-10-05,192,2026-08-24T13:33:15+00:00
VIIRS_SNPP_SP,2014-10-06,2014-10-10,126,2026-08-24T13:33:16+00:00
VIIRS_SNPP_SP,2014-10-11,2014-10-15,166,2026-08-24T13:33:17+00:00
VIIRS_SNPP_SP,2014-10-16,2014-10-20,87,2026-08-24T13:33:18+00:00
VIIRS_SNPP_SP,2014-10-21,2014-10-25,120,2026-08-24T13:33:19+00:00
VIIRS_SNPP_SP,2014-10-26,2014-10-30,96,2026-08-24T13:33:19+00:00
VIIRS_SNPP_SP,2014-10-31,2014-11-04,148,2026-08-24T13:33:20+00:00
VIIRS_SNPP_SP,2014-11-05,2014-11-09,269,2026-08-24T13:33:21+00:00
VIIRS_SNPP_SP,2014-11-10,2014-11-14,111,2026-08-24T13:33:22+00:00
VIIRS_SNPP_SP,2014-11-15,2014-11-19,103,2026-08-24T13:33:23+00:00
VIIRS_SNPP_SP,2014-11-20,2014-11-24,92,2026-08-24T13:33:24+00:00
VIIRS_SNPP_SP,2014-11-25,2014-11-29,66,2026-08-24T13:33:24+00:00
VIIRS_SNPP_SP,2014-11-30,2014-12-04,81,2026-08-24T13:33:25+00:00
VIIRS_SNPP_SP,2014-12-05,2014-12-09,119,2026-08-24T13:33:26+00:00
VIIRS_SNPP_SP,2014-12-10,2014-12-14,93,2026-08-24T13:33:27+00:00
VIIRS_SNPP_SP,2014-12-15,2014-12-19,99,2026-08-24T13:33:28+00:00
VIIRS_SNPP_SP,2014-12-20,2014-12-24,61,2026-08-24T13:33:30+00:00
VIIRS_SNPP_SP,2014-12-25,2014-12-29,155,2026-08-24T13:33:31+00:00
VIIRS_SNPP_SP,2014-12-30,2015-01-03,107,2026-08-24T13:33:31+00:00
VIIRS_SNPP_SP,2015-01-04,2015-01-08,161,2026-08-24T13:33:32+00:00
VIIRS_SNPP_SP,2015-01-09,2015-01-13,80,2026-08-24T13:33:38+00:00
VIIRS_SNPP_SP,2015-01-14,2015-01-18,109,2026-08-24T13:33:39+00:00
VIIRS_SNPP_SP,2015-01-19,2015-01-23,141,2026-08-24T13:33:40+00:00
VIIRS_SNPP_SP,2015-01-24,2015-01-28,92,2026-08-24T13:33:40+00:00
VIIRS_SNPP_SP,2015-01-29,2015-02-02,154,2026-08-24T13:33:41+00:00
VIIRS_SNPP_SP,2015-02-03,2015-02-07,162,2026-08-24T13:33:42+00:00
VIIRS_SNPP_SP,2015-02-08,2015-02-12,164,2026-08-24T13:33:42+00:00
VIIRS_SNPP_SP,2015-02-13,2015-02-17,99,2026-08-24T13:33:43+00:00
VIIRS_SNPP_SP,2015-02-18,2015-02-22,205,2026-08-24T13:33:44+00:00
VIIRS_SNPP_SP,2015-02-23,2015-02-27,141,2026-08-24T13:33:44+00:00
VIIRS_SNPP_SP,2015-02-28,2015-03-04,159,2026-08-24T13:33:45+00:00
VIIRS_SNPP_SP,2015-03-05,2015-03-09,123,2026-08-24T13:33:45+00:00
VIIRS_SNPP_SP,2015-03-10,2015-03-14,185,2026-08-24T13:33:46+00:00
VIIRS_SNPP_SP,2015-03-15,2015-03-19,170,2026-08-24T13:33:47+00:00
VIIRS_SNPP_SP,2015-03-20,2015-03-24,308,2026-08-24T13:33:48+00:00
VIIRS_SNPP_SP,2015-03-25,2015-03-29,184,2026-08-24T13:33:49+00:00
VIIRS_SNPP_SP,2015-03-30,2015-04-03,175,2026-08-24T13:33:50+00:00
VIIRS_SNPP_SP,2015-04-04,2015-04-08,393,2026-08-24T13:33:51+00:00
VIIRS_SNPP_SP,2015-04-09,2015-04-13,603,2026-08-24T13:33:51+00:00
VIIRS_SNPP_SP,2015-04-14,2015-04-18,254,2026-08-24T13:33:52+00:00
VIIRS_SNPP_SP,2015-04-19,2015-04-23,626,2026-08-24T13:33:52+00:00
VIIRS_SNPP_SP,2015-04-24,2015-04-28,212,2026-08-24T13:33:53+00:00
VIIRS_SNPP_SP,2015-04-29,2015-05-03,130,2026-08-24T13:33:54+00:00
VIIRS_SNPP_SP,2015-05-04,2015-05-08,141,2026-08-24T13:33:54+00:00
VIIRS_SNPP_SP,2015-05-09,2015-05-13,132,2026-08-24T13:33:55+00:00
VIIRS_SNPP_SP,2015-05-14,2015-05-18,118,2026-08-24T13:33:55+00:00
VIIRS_SNPP_SP,2015-05-19,2015-05-23,153,2026-08-24T13:33:57+00:00
VIIRS_SNPP_SP,2015-05-24,2015-05-28,138,2026-08-24T13:33:57+00:00
VIIRS_SNPP_SP,2015-05-29,2015-06-02,103,2026-08-24T13:33:58+00:00
VIIRS_SNPP_SP,2015-06-03,2015-06-07,251,2026-08-24T13:33:58+00:00
VIIRS_SNPP_SP,2015-06-08,2015-06-12,303,2026-08-24T13:33:59+00:00
VIIRS_SNPP_SP,2015-06-13,2015-06-17,89,2026-08-24T13:34:00+00:00
VIIRS_SNPP_SP,2015-06-18,2015-06-22,108,2026-08-24T13:34:01+00:00
VIIRS_SNPP_SP,2015-06-23,2015-06-27,152,2026-08-24T13:34:02+00:00
VIIRS_SNPP_SP,2015-06-28,2015-07-02,225,2026-08-24T13:34:03+00:00
VIIRS_SNPP_SP,2015-07-03,2015-07-07,192,2026-08-24T13:34:03+00:00
VIIRS_SNPP_SP,2015-07-08,2015-07-12,129,2026-08-24T13:34:04+00:00
VIIRS_SNPP_SP,2015-07-13,2015-07-17,129,2026-08-24T13:34:05+00:00
VIIRS_SNPP_SP,2015-07-18,2015-07-22,145,2026-08-24T13:34:05+00:00
VIIRS_SNPP_SP,2015-07-23,2015-07-27,98,2026-08-24T13:34:06+00:00
VIIRS_SNPP_SP,2015-07-28,2015-08-01,139,2026-08-24T13:34:07+00:00
VIIRS_SNPP_SP,2015-08-02,2015-08-06,114,2026-08-24T13:34:07+00:00
VIIRS_SNPP_SP,2015-08-07,2015-08-11,221,2026-08-24T13:34:09+00:00
VIIRS_SNPP_SP,2015-08-12,2015-08-16,209,2026-08-24T13:34:09+00:00
VIIRS_SNPP_SP,2015-08-17,2015-08-21,137,2026-08-24T13:34:10+00:00
VIIRS_SNPP_SP,2015-08-22,2015-08-26,181,2026-08-24T13:34:11+00:00
VIIRS_SNPP_SP,2015-08-27,2015-08-31,198,2026-08-24T13:34:12+00:00
VIIRS_SNPP_SP,2015-09-01,2015-09-05,95,2026-08-24T13:34:12+00:00
VIIRS_SNPP_SP,2015-09-06,2015-09-10,260,2026-08-24T13:34:13+00:00
VIIRS_SNPP_SP,2015-09-11,2015-09-15,138,2026-08-24T13:34:14+00:00
VIIRS_SNPP_SP,2015-09-16,2015-09-20,122,2026-08-24T13:34:15+00:00
VIIRS_SNPP_SP,2015-09-21,2015-09-25,136,2026-08-24T13:34:16+00:00
VIIRS_SNPP_SP,2015-09-26,2015-09-30,290,2026-08-24T13:34:16+00:00
VIIRS_SNPP_SP,2015-10-01,2015-10-05,343,2026-08-24T13:34:17+00:00
VIIRS_SNPP_SP,2015-10-06,2015-10-10,116,2026-08-24T13:34:18+00:00
VIIRS_SNPP_SP,2015-10-11,2015-10-15,142,2026-08-24T13:34:18+00:00
VIIRS_SNPP_SP,2015-10-16,2015-10-20,84,2026-08-24T13:34:19+00:00
VIIRS_SNPP_SP,2015-10-21,2015-10-25,91,2026-08-24T13:34:19+00:00
VIIRS_SNPP_SP,2015-10-26,2015-10-30,51,2026-08-24T13:34:20+00:00
VIIRS_SNPP_SP,2015-10-31,2015-11-04,184,2026-08-24T13:34:21+00:00
VIIRS_SNPP_SP,2015-11-05,2015-11-09,168,2026-08-24T13:34:21+00:00
VIIRS_SNPP_SP,2015-11-10,2015-11-14,105,2026-08-24T13:34:22+00:00
VIIRS_SNPP_SP,2015-11-15,2015-11-19,75,2026-08-24T13:34:23+00:00
VIIRS_SNPP_SP,2015-11-20,2015-11-24,120,2026-08-24T13:34:24+00:00
VIIRS_SNPP_SP,2015-11-25,2015-11-29,109,2026-08-24T13:34:24+00:00
VIIRS_SNPP_SP,2015-11-30,2015-12-04,91,2026-08-24T13:34:25+00:00
VIIRS_SNPP_SP,2015-12-05,2015-12-09,55,2026-08-24T13:34:25+00:00
VIIRS_SNPP_SP,2015-12-10,2015-12-14,52,2026-08-24T13:34:26+00:00
VIIRS_SNPP_SP,2015-12-15,2015-12-19,43,2026-08-24T13:34:27+00:00
VIIRS_SNPP_SP,2015-12-20,2015-12-24,105,2026-08-24T13:34:27+00:00
VIIRS_SNPP_SP,2015-12-25,2015-12-29,56,2026-08-24T13:34:28+00:00
VIIRS_SNPP_SP,2015-12-30,2016-01-03,36,2026-08-24T13:34:28+00:00
VIIRS_SNPP_SP,2016-01-04,2016-01-08,31,2026-08-24T13:34:29+00:00
VIIRS_SNPP_SP,2016-01-09,2016-01-13,68,2026-08-24T13:34:30+00:00
VIIRS_SNPP_SP,2016-01-14,2016-01-18,149,2026-08-24T13:34:30+00:00
VIIRS_SNPP_SP,2016-01-19,2016-01-23,106,2026-08-24T13:34:31+00:00
VIIRS_SNPP_SP,2016-01-24,2016-01-28,52,2026-08-24T13:34:32+00:00
